arch,IPC,Variant,dseed,pseed,F1 macro (%),F1 weighted (%)
clip_vitb,1.0,real_random,3407.0,3,31.73795914005566,39.751195387057955
clip_vitb,1.0,real_random,3407.0,4,34.40280272679771,44.399354140357964
clip_vitb,1.0,real_medoids,3407.0,0,41.103551392336435,49.665247006000925
clip_vitb,1.0,real_medoids,3407.0,1,41.113368313652614,48.964103864635035
clip_vitb,1.0,real_medoids,3407.0,2,40.6625783127571,48.60989628512393
clip_vitb,1.0,real_medoids,3407.0,3,39.43649772314522,48.780215745926526
clip_vitb,1.0,real_medoids,3407.0,4,40.9538348005859,47.81653231691306
clip_vitb,1.0,real_random,42.0,0,30.642639110202595,34.680330654544264
clip_vitb,1.0,real_random,42.0,1,32.391467742630816,38.55530703254593
clip_vitb,1.0,real_random,42.0,2,29.39000208023557,29.55229175455079
clip_vitb,1.0,real_random,42.0,3,31.423660288762186,33.05075610691773
clip_vitb,1.0,real_random,42.0,4,32.493264087307146,34.321438807545306
clip_vitb,1.0,real_medoids,42.0,0,41.103551392336435,49.665247006000925
clip_vitb,1.0,real_medoids,42.0,1,41.113368313652614,48.964103864635035
clip_vitb,1.0,real_medoids,42.0,2,40.6625783127571,48.60989628512393
clip_vitb,1.0,real_medoids,42.0,3,39.43649772314522,48.780215745926526
clip_vitb,1.0,real_medoids,42.0,4,40.9538348005859,47.81653231691306
clip_vitb,1.0,real_random,1234.0,0,27.865748312469478,41.72519454975795
clip_vitb,1.0,real_random,1234.0,1,28.00943919685374,42.02399926356841
clip_vitb,1.0,real_random,1234.0,2,28.273033268947884,41.97266411945505
clip_vitb,1.0,real_random,1234.0,3,28.987726875548763,42.684678266899084
clip_vitb,1.0,real_random,1234.0,4,28.702844890431205,42.450969115532544
clip_vitb,1.0,real_medoids,1234.0,0,41.103551392336435,49.665247006000925
clip_vitb,1.0,real_medoids,1234.0,1,41.113368313652614,48.964103864635035
clip_vitb,1.0,real_medoids,1234.0,2,40.6625783127571,48.60989628512393
clip_vitb,1.0,real_medoids,1234.0,3,39.43649772314522,48.780215745926526
clip_vitb,1.0,real_medoids,1234.0,4,40.9538348005859,47.81653231691306
clip_vitb,1.0,real_random,2024.0,0,38.15916647802972,51.73648583349545
clip_vitb,1.0,real_random,2024.0,1,37.648932363818,52.53582677759232
clip_vitb,1.0,real_random,2024.0,2,37.29597052071479,48.63548150576667
clip_vitb,1.0,real_random,2024.0,3,39.465769688492614,52.29014161730938
clip_vitb,1.0,real_random,2024.0,4,40.00647538474194,53.433620439326965
clip_vitb,1.0,real_medoids,2024.0,0,41.103551392336435,49.665247006000925
clip_vitb,1.0,real_medoids,2024.0,1,41.113368313652614,48.964103864635035
clip_vitb,1.0,real_medoids,2024.0,2,40.6625783127571,48.60989628512393
clip_vitb,1.0,real_medoids,2024.0,3,39.43649772314522,48.780215745926526
clip_vitb,1.0,real_medoids,2024.0,4,40.9538348005859,47.81653231691306
clip_vitb,1.0,real_random,7.0,0,32.026493173636005,46.905100147010934
clip_vitb,1.0,real_random,7.0,1,35.26139506425931,47.87477990258214
clip_vitb,1.0,real_random,7.0,2,31.523877068893263,44.52496783209746
clip_vitb,1.0,real_random,7.0,3,32.35020718150132,45.01344175070713
clip_vitb,1.0,real_random,7.0,4,32.97731099984059,46.687084298179485
clip_vitb,1.0,real_medoids,7.0,0,41.103551392336435,49.665247006000925
clip_vitb,1.0,real_medoids,7.0,1,41.113368313652614,48.964103864635035
clip_vitb,1.0,real_medoids,7.0,2,40.6625783127571,48.60989628512393
clip_vitb,1.0,real_medoids,7.0,3,39.43649772314522,48.780215745926526
clip_vitb,1.0,real_medoids,7.0,4,40.9538348005859,47.81653231691306
clip_vitb,3.0,real_random,3407.0,0,43.88237137785673,56.21369417265471
clip_vitb,3.0,real_random,3407.0,1,43.87653690776947,57.08567557470287
clip_vitb,3.0,real_random,3407.0,2,43.18075092939026,55.523804661630116
clip_vitb,3.0,real_random,3407.0,3,44.18767519602471,55.82989417014813
clip_vitb,3.0,real_random,3407.0,4,45.153202455856274,57.291987826192646
clip_vitb,3.0,real_medoids,3407.0,0,51.548845084676586,60.99972543056862
clip_vitb,3.0,real_medoids,3407.0,1,49.91427859505313,61.92279213855279
clip_vitb,3.0,real_medoids,3407.0,2,50.47862593624196,62.05947920354063
clip_vitb,3.0,real_medoids,3407.0,3,51.072595354540205,60.30689650366538
clip_vitb,3.0,real_medoids,3407.0,4,50.41915601313275,60.73345303855512
clip_vitb,3.0,real_random,42.0,0,52.922093024744456,61.42072148310207
clip_vitb,3.0,real_random,42.0,1,53.02872942120776,61.860797270708105
clip_vitb,3.0,real_random,42.0,2,54.138807604542485,62.6524062653221
clip_vitb,3.0,real_random,42.0,3,53.34915891247935,61.240495472834056
clip_vitb,3.0,real_random,42.0,4,53.469143428262186,62.889386331281194
clip_vitb,3.0,real_medoids,42.0,0,48.69973484703,55.6629604822695
clip_vitb,3.0,real_medoids,42.0,1,47.99578786940418,56.720325881684275
clip_vitb,3.0,real_medoids,42.0,2,49.06224792005869,56.576989511188444
clip_vitb,3.0,real_medoids,42.0,3,48.22116670789162,56.11872681965694
clip_vitb,3.0,real_medoids,42.0,4,49.1416382325928,56.8012611634105
clip_vitb,3.0,real_random,1234.0,0,47.57960135046111,59.795901061245004
clip_vitb,3.0,real_random,1234.0,1,47.88482405735956,60.48073323318081
clip_vitb,3.0,real_random,1234.0,2,47.49387365418997,60.09220966350297
clip_vitb,3.0,real_random,1234.0,3,48.394838749668196,60.20800504166173
clip_vitb,3.0,real_random,1234.0,4,48.53747075831839,60.18690235823602
clip_vitb,3.0,real_medoids,1234.0,0,50.00189323664419,59.62672177169589
clip_vitb,3.0,real_medoids,1234.0,1,50.607476963679865,60.23613984937442
clip_vitb,3.0,real_medoids,1234.0,2,50.2920345932668,60.111929263578276
clip_vitb,3.0,real_medoids,1234.0,3,50.910931457443176,59.84407296854057
clip_vitb,3.0,real_medoids,1234.0,4,50.320158077284646,59.14213410208456
clip_vitb,3.0,real_random,2024.0,0,46.23966323506954,46.87947673665647
clip_vitb,3.0,real_random,2024.0,1,44.854905211184146,46.68615840049472
clip_vitb,3.0,real_random,2024.0,2,45.68096050139269,45.735854732870486
clip_vitb,3.0,real_random,2024.0,3,46.421436146924016,47.56268799336644
clip_vitb,3.0,real_random,2024.0,4,47.14231935171232,47.55463092531439
clip_vitb,3.0,real_medoids,2024.0,0,50.79977097075189,61.88118236303033
clip_vitb,3.0,real_medoids,2024.0,1,51.78709574381587,62.41052372553919
clip_vitb,3.0,real_medoids,2024.0,2,50.578359000053595,61.484137653781936
clip_vitb,3.0,real_medoids,2024.0,3,49.68907893196282,61.28615779007334
clip_vitb,3.0,real_medoids,2024.0,4,51.420601646116104,61.16614223277922
clip_vitb,3.0,real_random,7.0,0,48.241902431955864,48.8072832149262
clip_vitb,3.0,real_random,7.0,1,49.23615088638641,52.50281111097603
clip_vitb,3.0,real_random,7.0,2,47.86937749365798,48.78145909717317
clip_vitb,3.0,real_random,7.0,3,47.28157205919056,48.66323690690165
clip_vitb,3.0,real_random,7.0,4,48.03898051918743,48.99139968929496
clip_vitb,3.0,real_medoids,7.0,0,48.8371411126778,59.93467721685264
clip_vitb,3.0,real_medoids,7.0,1,49.534704563344995,60.73259130296639
clip_vitb,3.0,real_medoids,7.0,2,49.3747390981736,59.81310625338539
clip_vitb,3.0,real_medoids,7.0,3,48.079139284288146,58.993692799529505
clip_vitb,3.0,real_medoids,7.0,4,49.55815914659908,59.55937351279502
clip_vitb,5.0,real_random,3407.0,0,50.94971234369648,62.43067862464295
clip_vitb,5.0,real_random,3407.0,1,51.01643972983785,63.25361942754878
clip_vitb,5.0,real_random,3407.0,2,50.253413681952296,62.55563197790094
clip_vitb,5.0,real_random,3407.0,3,51.88440554939787,63.621943745881424
clip_vitb,5.0,real_random,3407.0,4,50.82819930008953,62.45226668915906
clip_vitb,5.0,real_medoids,3407.0,0,56.6753830380311,64.27677443407312
clip_vitb,5.0,real_medoids,3407.0,1,56.79338816288666,63.29098930676843
clip_vitb,5.0,real_medoids,3407.0,2,56.56336142071823,64.36832708605974
clip_vitb,5.0,real_medoids,3407.0,3,57.27582370411086,64.07514689759758
clip_vitb,5.0,real_medoids,3407.0,4,56.735477710124094,62.863989920771715
clip_vitb,5.0,real_random,42.0,0,50.55234649749043,61.39516842195327
clip_vitb,5.0,real_random,42.0,1,50.095423753688095,61.39378898483103
clip_vitb,5.0,real_random,42.0,2,50.38279425656682,61.0699461212873
clip_vitb,5.0,real_random,42.0,3,50.79003498299877,62.35009052258418
clip_vitb,5.0,real_random,42.0,4,50.8584153512001,61.426316066736476
clip_vitb,5.0,real_medoids,42.0,0,57.82088741650483,64.80568057439885
clip_vitb,5.0,real_medoids,42.0,1,57.39892688880444,65.6931826629248
clip_vitb,5.0,real_medoids,42.0,2,57.11691638470121,65.69125624126613
clip_vitb,5.0,real_medoids,42.0,3,57.01189698246256,65.52560921615512
clip_vitb,5.0,real_medoids,42.0,4,57.07729036690458,64.53679604317595
clip_vitb,5.0,real_random,1234.0,0,49.238596980767525,61.04600605580314
clip_vitb,5.0,real_random,1234.0,1,51.259719408371396,63.859049656982606
clip_vitb,5.0,real_random,1234.0,2,49.80025485263616,62.27454880072101
clip_vitb,5.0,real_random,1234.0,3,49.81614024371335,61.43076810487514
clip_vitb,5.0,real_random,1234.0,4,49.67836901437,62.361834822272186
clip_vitb,5.0,real_medoids,1234.0,0,55.979242864489244,64.42026969189445
clip_vitb,5.0,real_medoids,1234.0,1,55.80873847632517,64.37131687889057
clip_vitb,5.0,real_medoids,1234.0,2,56.025447348945136,64.72464869293391
clip_vitb,5.0,real_medoids,1234.0,3,55.18387691073448,63.54964795673887
clip_vitb,5.0,real_medoids,1234.0,4,56.93214737144585,63.69571211527341
clip_vitb,5.0,real_random,2024.0,0,49.75476742726245,60.27853319605302
clip_vitb,5.0,real_random,2024.0,1,50.6760698353122,61.134013352653604
clip_vitb,5.0,real_random,2024.0,2,51.0254652201277,60.88213602820589
clip_vitb,5.0,real_random,2024.0,3,50.27827363011068,61.251037441460255
